,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
122,-5 %,117 m²,2.575.000,2.450.000,-125.000,201 m²,4, Rækkehus,2635 Ishøj
123,-3 %,183 m²,4.295.000,4.175.000,-120.000,737 m²,5, Villa,2635 Ishøj
124,-3 %,149 m²,3.200.000,3.100.000,-100.000,539 m²,5, Villa,2640 Hedehusene
125,-6 %,161 m²,3.300.000,3.100.000,-200.000,1.224 m²,6, Villa,2640 Hedehusene
126,-5 %,165 m²,3.695.000,3.498.000,-197.000,794 m²,6, Villa,2650 Hvidovre
127,-5 %,131 m²,4.750.000,4.495.000,-255.000,419 m²,4, Rækkehus,2650 Hvidovre
128,-3 %,167 m²,3.875.000,3.745.000,-130.000,682 m²,6, Villa,2650 Hvidovre
129,-4 %,115 m²,4.150.000,3.995.000,-155.000,590 m²,5, Villa,2650 Hvidovre
130,-4 %,75 m²,2.595.000,2.495.000,-100.000,0 m²,3, Ejerlejlighed,2650 Hvidovre
131,-1 %,159 m²,3.275.000,3.245.000,-30.000,821 m²,5, Villa,2660 Brøndby Strand
132,-2 %,165 m²,4.275.000,4.175.000,-100.000,661 m²,6, Villa,2660 Brøndby Strand
133,-7 %,121 m²,2.480.000,2.300.000,-180.000,303 m²,4, Rækkehus,2660 Brøndby Strand
134,-6 %,119 m²,3.195.000,2.995.000,-200.000,1.074 m²,4, Villa,2665 Vallensbæk Str.
135,-3 %,188 m²,5.395.000,5.250.000,-145.000,1.381 m²,8, Villa,2665 Vallensbæk Str.
136,-6 %,39 m²,850.000,795.000,-55.000,0 m²,1, Ejerlejlighed,2665 Vallensbæk Str.
137,-4 %,167 m²,5.595.000,5.395.000,-200.000,670 m²,5, Villa,2665 Vallensbæk Str.
138,-4 %,140 m²,3.695.000,3.545.000,-150.000,766 m²,4, Villa,2670 Greve
139,-3 %,184 m²,3.198.000,3.098.000,-100.000,884 m²,5, Villa,2670 Greve
140,-3 %,81 m²,1.995.000,1.945.000,-50.000,0 m²,3, Ejerlejlighed,2670 Greve
141,-2 %,96 m²,2.295.000,2.245.000,-50.000,177 m²,4, Rækkehus,2670 Greve
142,-4 %,178 m²,3.649.000,3.495.000,-154.000,1.312 m²,4, Villa,2670 Greve
143,-2 %,89 m²,2.645.000,2.595.000,-50.000,788 m²,3, Villa,2670 Greve
144,-5 %,185 m²,5.495.000,5.245.000,-250.000,788 m²,6, Villa,2680 Solrød Strand
145,-4 %,129 m²,2.645.000,2.545.000,-100.000,283 m²,4, Rækkehus,2680 Solrød Strand
146,-4 %,79 m²,2.495.000,2.395.000,-100.000,0 m²,3, Ejerlejlighed,2700 Brønshøj
147,-5 %,120 m²,4.295.000,4.095.000,-200.000,767 m²,4, Villa,2700 Brønshøj
148,-5 %,96 m²,4.195.000,3.995.000,-200.000,250 m²,4, Rækkehus,2700 Brønshøj
149,-3 %,162 m²,6.695.000,6.499.000,-196.000,508 m²,5, Villa,2700 Brønshøj
150,-3 %,63 m²,3.750.000,3.650.000,-100.000,650 m²,2, Villa,2700 Brønshøj
151,-2 %,100 m²,2.545.000,2.495.000,-50.000,0 m²,3, Ejerlejlighed,2700 Brønshøj
152,-5 %,120 m²,3.250.000,3.075.000,-175.000,975 m²,4, Villalejlighed,2700 Brønshøj
153,-3 %,107 m²,4.598.000,4.450.000,-148.000,654 m²,5, Villa,2700 Brønshøj
154,-1 %,67 m²,2.375.000,2.350.000,-25.000,0 m²,3, Ejerlejlighed,2700 Brønshøj
155,-4 %,83 m²,2.390.000,2.298.000,-92.000,0 m²,3, Ejerlejlighed,2700 Brønshøj
156,-8 %,56 m²,1.795.000,1.650.000,-145.000,0 m²,2, Ejerlejlighed,2700 Brønshøj
157,-5 %,52 m²,1.575.000,1.499.000,-76.000,0 m²,2, Ejerlejlighed,2700 Brønshøj
158,-3 %,145 m²,3.995.000,3.895.000,-100.000,729 m²,4, Villa,2700 Brønshøj
159,-3 %,38 m²,1.598.000,1.545.000,-53.000,0 m²,1, Ejerlejlighed,2720 Vanløse
160,-3 %,70 m²,3.395.000,3.295.000,-100.000,456 m²,3, Villalejlighed,2720 Vanløse
161,-3 %,56 m²,2.049.000,1.995.000,-54.000,0 m²,2, Ejerlejlighed,2720 Vanløse
162,-4 %,81 m²,3.795.000,3.650.000,-145.000,580 m²,4, Villa,2730 Herlev
163,-3 %,186 m²,3.849.000,3.749.000,-100.000,760 m²,7, Villa,2730 Herlev
164,-4 %,155 m²,3.595.000,3.450.000,-145.000,723 m²,5, Villa,2730 Herlev
165,-1 %,107 m²,4.295.000,4.250.000,-45.000,723 m²,3, Villa,2730 Herlev
166,-7 %,90 m²,2.795.000,2.595.000,-200.000,915 m²,4, Villa,2730 Herlev
167,-4 %,147 m²,4.497.000,4.295.000,-202.000,721 m²,5, Villa,2730 Herlev
168,-5 %,85 m²,1.995.000,1.895.000,-100.000,0 m²,3, Ejerlejlighed,2730 Herlev
169,-4 %,65 m²,2.400.000,2.295.000,-105.000,894 m²,3, Rækkehus,2740 Skovlunde
170,-4 %,145 m²,3.650.000,3.495.000,-155.000,1.060 m²,4, Villa,2750 Ballerup
171,-7 %,139 m²,4.295.000,3.995.000,-300.000,1.235 m²,5, Villa,2750 Ballerup
172,-3 %,76 m²,1.795.000,1.745.000,-50.000,0 m²,2, Ejerlejlighed,2760 Måløv
173,-3 %,123 m²,3.175.000,3.095.000,-80.000,255 m²,5, Rækkehus,2765 Smørum
174,-6 %,54 m²,1.695.000,1.595.000,-100.000,0 m²,2, Ejerlejlighed,2770 Kastrup
175,-5 %,102 m²,3.790.000,3.600.000,-190.000,242 m²,5, Rækkehus,2770 Kastrup
176,-4 %,166 m²,4.995.000,4.795.000,-200.000,787 m²,6, Villa,2770 Kastrup
177,-3 %,156 m²,3.295.000,3.195.000,-100.000,718 m²,4, Villa,2770 Kastrup
178,-4 %,64 m²,2.395.000,2.295.000,-100.000,0 m²,3, Ejerlejlighed,2770 Kastrup
179,-4 %,166 m²,4.675.000,4.495.000,-180.000,1.099 m²,5, Villa,2770 Kastrup
180,-2 %,145 m²,4.750.000,4.650.000,-100.000,722 m²,6, Villa,2770 Kastrup
181,-3 %,139 m²,3.498.000,3.398.000,-100.000,168 m²,4, Villa,2791 Dragør
182,-3 %,228 m²,5.999.888,5.799.888,-200.000,470 m²,6, Villa,2791 Dragør
183,-4 %,206 m²,8.000.000,7.700.000,-300.000,791 m²,6, Villa,2791 Dragør
184,-1 %,131 m²,3.550.000,3.498.000,-52.000,695 m²,5, Villa,2791 Dragør
185,-5 %,119 m²,3.695.000,3.495.000,-200.000,448 m²,4, Villa,2791 Dragør
186,-3 %,43 m²,1.329.000,1.290.000,-39.000,0 m²,2, Ejerlejlighed,2791 Dragør
187,-7 %,167 m²,4.495.000,4.195.000,-300.000,813 m²,7, Villa,2791 Dragør
188,-3 %,0 m²,3.595.000,3.495.000,-100.000,787 m²,0, Helårsgrund,2791 Dragør
189,-10 %,0 m²,2.895.000,2.595.000,-300.000,785 m²,0, Helårsgrund,2791 Dragør
190,-4 %,89 m²,4.695.000,4.495.000,-200.000,843 m²,4, Rækkehus,2800 Lyngby
191,-6 %,201 m²,8.995.000,8.495.000,-500.000,1.052 m²,5, Villa,2800 Lyngby
192,-3 %,97 m²,4.345.000,4.195.000,-150.000,790 m²,4, Rækkehus,2800 Lyngby
193,-9 %,122 m²,3.995.000,3.650.000,-345.000,0 m²,4, Ejerlejlighed,2800 Lyngby
194,-7 %,93 m²,4.295.000,3.995.000,-300.000,693 m²,4, Villa,2800 Lyngby
195,-6 %,206 m²,7.995.000,7.495.000,-500.000,326 m²,6, Rækkehus,2800 Lyngby
196,-4 %,140 m²,5.695.000,5.495.000,-200.000,772 m²,6, Villa,2800 Lyngby
197,-2 %,74 m²,1.482.743,1.455.442,-27.301,1.419 m²,3, Andelsbolig,2800 Lyngby
198,-7 %,140 m²,4.850.000,4.495.000,-355.000,698 m²,5, Villa,2800 Lyngby
199,-5 %,56 m²,1.675.000,1.595.000,-80.000,0 m²,2, Ejerlejlighed,2800 Lyngby
200,-4 %,30 m²,990.000,949.000,-41.000,0 m²,1, Ejerlejlighed,2800 Lyngby
201,-10 %,397 m²,24.000.000,21.500.000,-2.500.000,1.597 m²,10, Villa,2820 Gentofte
202,-5 %,204 m²,7.995.000,7.595.000,-400.000,1.441 m²,5, Villa,2820 Gentofte
203,-2 %,81 m²,4.095.000,3.995.000,-100.000,601 m²,4, Villa,2830 Virum
204,-3 %,101 m²,3.595.000,3.475.000,-120.000,0 m²,3, Ejerlejlighed,2830 Virum
205,-3 %,145 m²,3.995.000,3.895.000,-100.000,233 m²,5, Rækkehus,2830 Virum
206,-5 %,135 m²,4.995.000,4.750.000,-245.000,278 m²,6, Rækkehus,2830 Virum
207,-17 %,304 m²,12.000.000,9.995.000,-2.005.000,5.265 m²,8, Villa,2830 Virum
208,-4 %,69 m²,2.495.000,2.395.000,-100.000,0 m²,3, Ejerlejlighed,2830 Virum
209,-3 %,56 m²,1.550.000,1.498.000,-52.000,0 m²,2, Ejerlejlighed,2830 Virum
210,-5 %,150 m²,5.495.000,5.195.000,-300.000,753 m²,6, Villa,2830 Virum
211,-2 %,50 m²,1.295.000,1.275.000,-20.000,0 m²,1, Ejerlejlighed,2830 Virum
212,-4 %,160 m²,6.495.000,6.235.000,-260.000,1.034 m²,6, Villa,2840 Holte
213,-4 %,131 m²,4.995.000,4.795.000,-200.000,1.119 m²,5, Villa,2840 Holte
214,-4 %,127 m²,4.495.000,4.295.000,-200.000,281 m²,5, Rækkehus,2840 Holte
215,-3 %,171 m²,4.895.000,4.745.000,-150.000,1.300 m²,5, Villa,2840 Holte
216,-8 %,104 m²,3.995.000,3.695.000,-300.000,0 m²,3, Ejerlejlighed,2840 Holte
217,-5 %,149 m²,6.295.000,5.995.000,-300.000,1.193 m²,5, Villa,2840 Holte
218,-1 %,248 m²,8.750.000,8.695.000,-55.000,1.343 m²,9, Villa,2840 Holte
219,-5 %,72 m²,2.195.000,2.095.000,-100.000,0 m²,3, Ejerlejlighed,2860 Søborg
220,-2 %,36 m²,995.000,975.000,-20.000,0 m²,1, Ejerlejlighed,2860 Søborg
221,-3 %,113 m²,3.495.000,3.395.000,-100.000,0 m²,4, Ejerlejlighed,2860 Søborg
222,-6 %,58 m²,1.795.000,1.695.000,-100.000,0 m²,2, Ejerlejlighed,2860 Søborg
223,-4 %,141 m²,5.695.000,5.495.000,-200.000,745 m²,6, Villa,2860 Søborg
224,-2 %,44 m²,1.375.000,1.348.000,-27.000,0 m²,2, Ejerlejlighed,2860 Søborg
225,-4 %,123 m²,4.495.000,4.295.000,-200.000,593 m²,0, Villa,2860 Søborg
226,-4 %,100 m²,2.595.000,2.495.000,-100.000,506 m²,3, Rækkehus,2860 Søborg
227,-5 %,140 m²,3.695.000,3.500.000,-195.000,655 m²,4, Villa,2880 Bagsværd
228,-11 %,152 m²,6.495.000,5.795.000,-700.000,1.070 m²,6, Villa,2880 Bagsværd
229,-2 %,212 m²,4.850.000,4.750.000,-100.000,1.083 m²,8, Villa,2880 Bagsværd
230,-2 %,175 m²,6.750.000,6.635.000,-115.000,700 m²,5, Villa,2900 Hellerup
231,-4 %,143 m²,7.995.000,7.695.000,-300.000,845 m²,6, Villa,2900 Hellerup
232,-3 %,138 m²,7.500.000,7.295.000,-205.000,351 m²,5, Villa,2920 Charlottenlund
233,-4 %,250 m²,11.495.000,10.995.000,-500.000,1.132 m²,6, Villa,2920 Charlottenlund
234,-4 %,154 m²,13.500.000,12.985.000,-515.000,0 m²,4, Villa,2920 Charlottenlund
235,-4 %,136 m²,8.995.000,8.600.000,-395.000,396 m²,4, Rækkehus,2920 Charlottenlund
236,-7 %,75 m²,2.845.000,2.650.000,-195.000,0 m²,3, Ejerlejlighed,2920 Charlottenlund
237,-3 %,58 m²,1.955.000,1.895.000,-60.000,0 m²,2, Ejerlejlighed,2920 Charlottenlund
238,-5 %,178 m²,9.750.000,9.250.000,-500.000,788 m²,6, Villa,2920 Charlottenlund
239,-7 %,259 m²,7.495.000,6.995.000,-500.000,750 m²,14, Villa,2920 Charlottenlund
240,-5 %,172 m²,9.995.000,9.500.000,-495.000,0 m²,5, Ejerlejlighed,2920 Charlottenlund
241,-3 %,129 m²,6.700.000,6.500.000,-200.000,451 m²,5, Villalejlighed,2920 Charlottenlund
242,-4 %,71 m²,2.495.000,2.395.000,-100.000,1.193 m²,2, Ejerlejlighed,2920 Charlottenlund
243,-8 %,51 m²,3.900.000,3.600.000,-300.000,123 m²,3, Villa,2920 Charlottenlund
244,-4 %,100 m²,5.395.000,5.195.000,-200.000,0 m²,3, Ejerlejlighed,2920 Charlottenlund
245,-4 %,242 m²,9.350.000,8.995.000,-355.000,1.034 m²,5, Villa,2920 Charlottenlund
246,-3 %,217 m²,9.950.000,9.695.000,-255.000,806 m²,6, Villa,2920 Charlottenlund
247,-2 %,99 m²,3.495.000,3.420.000,-75.000,0 m²,3, Ejerlejlighed,2942 Skodsborg
248,-4 %,127 m²,6.495.000,6.250.000,-245.000,648 m²,6, Rækkehus,2950 Vedbæk
249,-2 %,117 m²,7.500.000,7.345.000,-155.000,1.262 m²,5, Villa,2960 Rungsted Kyst
250,-8 %,328 m²,9.750.000,8.995.000,-755.000,1.182 m²,8, Villa,2960 Rungsted Kyst
251,-5 %,154 m²,3.145.000,2.995.000,-150.000,239 m²,5, Rækkehus,2970 Hørsholm
252,-5 %,229 m²,9.495.000,8.995.000,-500.000,2.954 m²,6, Villa,2970 Hørsholm
253,-3 %,191 m²,7.200.000,6.995.000,-205.000,1.877 m²,6, Villa,2970 Hørsholm
254,-5 %,139 m²,4.195.000,3.995.000,-200.000,244 m²,6, Rækkehus,2970 Hørsholm
255,-15 %,106 m²,1.749.000,1.495.000,-254.000,266 m²,4, Rækkehus,2980 Kokkedal
256,-3 %,140 m²,2.895.000,2.795.000,-100.000,297 m²,5, Villa,2980 Kokkedal
257,-3 %,173 m²,3.700.000,3.595.000,-105.000,295 m²,7, Rækkehus,2980 Kokkedal
258,-5 %,123 m²,2.850.000,2.695.000,-155.000,811 m²,4, Villa,2990 Nivå
259,-3 %,55 m²,1.075.000,1.045.000,-30.000,0 m²,2, Ejerlejlighed,3000 Helsingør
260,-5 %,94 m²,3.150.000,2.995.000,-155.000,1.063 m²,3, Villa,3000 Helsingør
261,-3 %,96 m²,1.685.000,1.635.000,-50.000,0 m²,3, Ejerlejlighed,3060 Espergærde
262,-5 %,133 m²,3.995.000,3.795.000,-200.000,1.212 m²,5, Villa,3060 Espergærde
263,-5 %,134 m²,4.195.000,3.995.000,-200.000,459 m²,5, Villa,3070 Snekkersten
264,-3 %,124 m²,5.450.000,5.295.000,-155.000,0 m²,3, Ejerlejlighed,3070 Snekkersten
