CarName;HK;KM;KmPerLiter;KMT;Price;Year
Kia Rio 1.2 CVVT Style+ 5d;86;31.0;21.3;13.1;109800;2017
Audi A6 2.0 TFSi 1...ltitr. 5d;180;49.0;15.4;8.6;499900;2014
Suzuki Baleno 1.0 ...lusive 5d;112;4.0;22.7;11.4;169900;2017
Mercedes CLA250 2.0 aut. 4d;211;16.0;18.5;6.4;439900;2016
Mercedes 350 SLC 3...5 aut. 2d;0;106.0;0;0;199900;1975
Land Rover Range R...E aut. 5d;177;265.0;8.8;12.8;329900;2004
Hyundai Ioniq 1.6 ...nd DCT 5d;141;7.0;0;10.8;249700;2017
Toyota Avensis 2.0...st.car 5d;126;104.0;18.5;10.00;129700;2010
VW Golf Sportsvan ...SG BMT 5d;150;55.0;21.3;9.2;299900;2014
BMW 730d 3.0 Steptr. 4d;231;110.0;12.2;7.8;279900;2005
Audi A6 3.0 TFSi 3... S0tr. 4d;333;29.0;13.5;5.1;599900;2015
Nissan Qashqai 1.2...onnect 5d;115;8.0;17.9;11.3;239900;2017
Mercedes C220 2.2 ...ut. BE 5d;170;180.0;20;8.3;234900;2014
Skoda Fabia 1.2 TS... Combi 5d;90;19.0;21.3;11.00;159900;2017
Hyundai i30 1.6 CR... Trend 5d;110;8.0;27.8;11.1;219700;2017
Toyota Auris 1.8 H...rt CVT 5d;136;24.0;0;10.9;188888;2015
Peugeot 508 1.6 HD...ive SW 5d;114;168.0;22.7;11.3;119600;2013
Hyundai ix20 1.4 C...um ISG 5d;78;66.0;23.3;15.5;89800;2011
Renault Talisman 1...ST EDC 5d;130;9.0;22.7;11.2;299900;2017
Ford B0MAX 1.6 TDC...tanium 5d;95;129.0;25;0;112900;2013
Nissan Qashqai 1.5... Tekna 5d;110;15.0;25;11.9;254900;2017
Kia Ceed 1.0 T0GDi...ium SW 5d;120;14.0;19.2;11.4;219900;2017
